Country,Unemployment rate(%),Death rate(deaths/1000 population)
Andorra,0.0,6.07
Guernsey,0.5,9.95
Aruba,0.6,6.57
Man Isle of,0.6,11.26
Uzbekistan,0.6,7.95
Jersey,0.9,9.19
Faroe Islands,1.0,8.69
Azerbaijan,1.2,9.86
Liechtenstein,1.3,7.06
Thailand,1.5,7.02
Vietnam,1.9,6.2
Belarus,2.0,14.15
Gibraltar,2.0,9.18
Kiribati,2.0,8.37
Kuwait,2.2,2.42
Palau,2.3,6.85
United Arab Emirates,2.4,4.26
Cambodia,2.5,8.97
Cuba,2.5,7.19
San Marino,2.6,8.07
Qatar,2.7,4.61
British Virgin Islands,3.0,4.42
Malaysia,3.0,5.06
Iceland,3.1,6.68
Brunei,3.2,3.42
Cyprus,3.2,7.64
Mexico,3.2,4.73
Singapore,3.4,4.16
Switzerland,3.4,8.48
Ukraine,3.5,16.42
Korea South,3.6,6.26
Cayman Islands,4.1,4.81
New Zealand,4.2,7.53
Ireland,4.3,7.85
Norway,4.3,9.45
Austria,4.4,9.7
Luxembourg,4.5,8.41
Saint Kitts and Nevis,4.5,8.47
Taiwan,4.5,6.38
Japan,4.7,8.95
Macau,4.7,4.23
United Kingdom,4.8,10.18
Bermuda,5.0,7.63
Australia,5.1,7.44
Burma,5.2,12.15
Mali,5.3,19.05
United States,5.5,8.25
Sweden,5.6,10.36
Laos,5.7,11.83
Hungary,5.9,13.19
American Samoa,6.0,3.33
Montserrat,6.0,7.17
Netherlands,6.0,8.68
Denmark,6.2,10.43
El Salvador,6.3,5.85
Romania,6.3,11.74
Slovenia,6.4,10.22
Portugal,6.5,10.43
Costa Rica,6.6,4.33
Hong Kong,6.7,5.98
Mongolia,6.7,7.03
Canada,7.0,7.73
Malta,7.0,8.0
Guatemala,7.5,6.81
Fiji,7.6,5.65
Nicaragua,7.8,4.49
Sri Lanka,7.8,6.49
Anguilla,8.0,5.43
Central African Republic,8.0,20.27
Kazakhstan,8.0,9.46
Lithuania,8.0,10.92
Moldova,8.0,12.79
Pakistan,8.3,8.45
Russia,8.3,14.52
Chile,8.5,5.76
Italy,8.6,10.3
Latvia,8.8,13.7
Finland,8.9,9.79
Bolivia,9.2,7.64
India,9.2,8.28
Indonesia,9.2,6.25
Turkey,9.3,5.96
Virgin Islands,9.3,6.26
#European Union,9.5,10.1
Estonia,9.6,13.21
Peru,9.6,6.26
China,9.8,6.94
Saint Pierre and Miquelon,9.8,6.7
Greece,10.0,10.15
Greenland,10.0,7.77
Turks and Caicos Islands,10.0,4.28
France,10.1,9.08
Bahamas The,10.2,8.97
Spain,10.4,9.63
Trinidad and Tobago,10.4,9.37
Czech Republic,10.6,10.54
Germany,10.6,10.55
Barbados,10.7,9.17
Israel,10.7,6.18
Mauritius,10.8,6.83
Egypt,10.9,5.26
Antigua and Barbuda,11.0,5.44
Ecuador,11.1,4.24
Iran,11.2,5.55
Brazil,11.5,6.15
Philippines,11.7,5.47
French Polynesia,11.8,4.63
Belgium,12.0,10.22
Puerto Rico,12.0,7.86
Morocco,12.1,5.64
Grenada,12.5,7.17
Panama,12.6,6.54
Bulgaria,12.7,14.26
Belize,12.9,6.04
Cote d'Ivoire,13.0,14.94
Uruguay,13.0,9.06
Slovakia,13.1,9.43
Tonga,13.3,5.35
Colombia,13.6,5.59
Croatia,13.8,11.38
Tunisia,13.8,5.09
Saint Helena,14.0,6.43
Argentina,14.8,7.56
Bahrain,15.0,4.08
Guam,15.0,4.41
Jamaica,15.0,5.37
Jordan,15.0,2.63
Oman,15.0,3.86
Saint Vincent and the Grenadines,15.0,6.0
Paraguay,15.1,4.53
Netherlands Antilles,15.6,6.41
Micronesia Federated States of,16.0,4.87
Dominican Republic,17.0,7.35
Georgia,17.0,9.09
Suriname,17.0,7.16
Venezuela,17.1,4.9
Kyrgyzstan,18.0,7.13
Lebanon,18.0,6.24
Sudan,18.7,9.16
New Caledonia,19.0,5.65
Poland,19.5,10.01
Comoros,20.0,8.4
Ghana,20.0,10.84
Mauritania,20.0,12.44
Saint Lucia,20.0,5.12
Syria,20.0,4.88
Cape Verde,21.0,6.62
Gabon,21.0,11.72
Mozambique,21.0,20.99
French Guiana,22.0,4.85
Monaco,22.0,12.71
Dominica,23.0,6.81
Botswana,23.8,29.36
Iraq,25.0,5.49
Saudi Arabia,25.0,2.62
Algeria,25.4,4.6
South Africa,26.2,21.32
Martinique,27.2,6.44
West Bank,27.2,3.99
Guadeloupe,27.8,6.06
Honduras,28.5,6.87
Armenia,30.0,8.16
Cameroon,30.0,15.4
Equatorial Guinea,30.0,12.0
Libya,30.0,3.48
Serbia and Montenegro,30.0,10.49
Marshall Islands,30.9,4.88
Swaziland,34.0,25.26
Namibia,35.0,18.36
Yemen,35.0,8.53
Reunion,36.0,5.48
Macedonia,37.7,8.73
Mayotte,38.0,7.9
Bangladesh,40.0,8.4
Kenya,40.0,14.65
Tajikistan,40.0,8.39
Bosnia and Herzegovina,44.0,8.44
Lesotho,45.0,25.03
Nepal,47.0,9.47
Senegal,48.0,10.6
Djibouti,50.0,19.39
East Timor,50.0,6.3
Gaza Strip,50.0,3.87
Zambia,50.0,20.23
Turkmenistan,60.0,8.78
Zimbabwe,70.0,24.66
Liberia,85.0,17.87
Nauru,90.0,6.82
